Type,Emitter
Maker,"Semrock"
ProductName,"FF01-452/45-25"
Comment,""
Public,1
wavedataset
200,0.00030746
200.2,0.00079384
200.4,4.6182E-05
200.6,0.0015628
200.8,1E-05
201,1E-05
201.2,0.0010716
201.4,0.00045584
201.6,1.8236E-05
201.8,1E-05
202,0.00019592
202.2,0.00012565
202.4,1E-05
202.6,0.00036533
202.8,0.00011717
203,0.00065565
203.2,0.00024136
203.4,4.0076E-05
203.6,1E-05
203.8,1E-05
204,1E-05
204.2,1E-05
204.4,0.00022541
204.6,3.2877E-05
204.8,0.00068371
205,0.00012088
205.2,1E-05
205.4,0.00041444
205.6,0.0012921
205.8,0.0015519
206,1E-05
206.2,1E-05
206.4,0.00013364
206.6,0.00039869
206.8,8.1164E-05
207,0.00019812
207.2,0.00057513
207.4,8.8608E-05
207.6,1E-05
207.8,0.000377
208,0.00011277
208.2,8.5913E-05
208.4,0.0010837
208.6,1E-05
208.8,1E-05
209,1E-05
209.2,4.1686E-05
209.4,0.00049551
209.6,8.8552E-06
209.8,3.5927E-05
210,0.00050617
210.2,0.00078126
210.4,0.00015617
210.6,0.00010291
210.8,0.00011207
211,0.00016535
211.2,4.4673E-05
211.4,1E-05
211.6,0.00013208
211.8,1E-05
212,1E-05
212.2,0.00038124
212.4,0.00030274
212.6,0.00033959
212.8,6.3502E-05
213,1E-05
213.2,1E-05
213.4,1.5448E-05
213.6,1.5448E-05
213.8,1E-05
214,1E-05
214.2,1E-05
214.4,0.00034674
214.6,6.6599E-05
214.8,2.2708E-05
215,3.0292E-05
215.2,1.5927E-05
215.4,0.00019301
215.6,0.00013794
215.8,0.00031119
216,4.7179E-05
216.2,0.00028202
216.4,0.00012158
216.6,2.3796E-05
216.8,8.4816E-05
217,1E-05
217.2,8.5078E-05
217.4,6.7491E-05
217.6,0.00016561
217.8,2.6397E-05
218,2.3757E-05
218.2,9.0023E-05
218.4,1.7327E-05
218.6,0.00013443
218.8,8.0946E-05
219,1.5838E-05
219.2,1E-05
219.4,0.00014659
219.6,0.00015214
219.8,2.2773E-06
220,1E-05
220.2,1E-05
220.4,0.00010249
220.6,8.9134E-05
220.8,1.6702E-05
221,4.569E-06
221.2,0.00016371
221.4,0.00016531
221.6,0.00050221
221.8,0.00025867
222,1.9897E-05
222.2,9.2956E-05
222.4,1E-05
222.6,4.8392E-05
222.8,0.0001768
223,1E-05
223.2,8.6448E-06
223.4,1E-05
223.6,0.00011054
223.8,0.00018431
224,1.9561E-05
224.2,0.00016144
224.4,2.3674E-05
224.6,1E-05
224.8,2.6742E-05
225,1.7981E-05
225.2,1E-05
225.4,1E-05
225.6,9.7124E-05
225.8,1.0365E-05
226,2.2973E-05
226.2,8.9726E-05
226.4,3.4709E-06
226.6,1E-05
226.8,4.9331E-06
227,0.00011637
227.2,3.5964E-05
227.4,5.5855E-05
227.6,0.00037648
227.8,3.4711E-05
228,3.9142E-05
228.2,0.00022268
228.4,6.7556E-05
228.6,0.00012856
228.8,3.8139E-05
229,1E-05
229.2,2.4979E-05
229.4,1E-05
229.6,1E-05
229.8,1E-05
230,0.00012539
230.2,1.8929E-05
230.4,7.0397E-06
230.6,1E-05
230.8,8.5427E-06
231,3.4884E-05
231.2,1E-05
231.4,1.2553E-05
231.6,1.2553E-05
231.8,1E-05
232,1.7993E-05
232.2,1.7993E-05
232.4,1E-05
232.6,1.3894E-05
232.8,5.141E-05
233,5.82E-06
233.2,5.2466E-05
233.4,8.877E-06
233.6,1E-05
233.8,0.00012757
234,2.3286E-05
234.2,6.6418E-05
234.4,2.5573E-05
234.6,3.0674E-05
234.8,1E-05
235,0.00010226
235.2,2.5431E-05
235.4,1E-05
